SearchQuery,ID0,S0,ID1,S1,ID2,S2,ID3,S3,ID4,S4
,,,,,,,,,,
azure,Azure.Storage.Blobs,4,Azure.*,3,Microsoft.Azure.*,2,WindowsAzure.Storage,2,,
WindowsAzure.Storage,WindowsAzure.Storage,4,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.Blob,2,,
Microsoft.Azure,Azure.Storage.Blobs,4,Microsoft.Azure.Storage.Blob,3,Microsoft.Azure.*,2,,,,
Azure,Azure.Storage.Blobs,4,Azure.*,3,Microsoft.Azure.*,2,WindowsAzure.Storage,2,,
microsoft.azure,Azure.Storage.Blobs,4,Microsoft.Azure.*,3,Azure.*,2,,,,
Microsoft.WindowsAzure.Storage,Azure.Storage.Blobs,4,Azure.*,3,Microsoft.Azure.*,2,,,,
storage,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
Azure.Storage.Blobs,Azure.Storage.Blobs,4,Azure.Storage.*,3,Azure.*,2,,,,
Microsoft.Azure.Storage.Blob,Microsoft.Azure.Storage.Blob,4,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,
Microsoft.Azure.Storage,Azure.Storage.Blobs,4,Microsoft.Azure.Storage.*,3,Azure.Storage.*,2,,,,
azure storage,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,Azure.*,2,WindowsAzure.Storage,2
Microsoft.Azure.,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,3,,,,
microsoft.azure.,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,3,,,,
azure.storage,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,3,,,,
blob,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,3,,,,
windowsazure,WindowsAzure.Storage,4,WindowsAzure.*,3,Microsoft.WindowsAzure.*,3,,,,
microsoft.azure.storage,Azure.Storage.Blobs,4,Microsoft.Azure.Storage.*,3,Azure.Storage.*,2,,,,
WindowsAzure,WindowsAzure.Storage,4,Azure.*,2,,,,,,
Azure.Storage,Azure.Storage.Blobs,4,Azure.Storage.*,3,,,,,,
windowsazure.storage,WindowsAzure.Storage,4,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.Blob,2,,
Microsoft.WindowsAzure,Microsoft.WindowsAzure.*,4,WindowsAzure.Storage,3,Azure.*,2,,,,
azure.,Azure.Storage.Blobs,4,Azure.*,3,Microsoft.Azure.*,2,,,,
Storage,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.*,2,,,,
azure.storage.blobs,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.Blob,2,,,,
azure blob,Azure.Storage.Blobs,4,Microsoft.Azure.Storage.Blob,3,Azure.Storage.*,2,,,,
Azure.,Azure.Storage.Blobs,4,Azure.*,3,Microsoft.Azure.*,2,,,,
Microsoft.WindowsAzure.Storage.Blob,Microsoft.Azure.Storage.Blob,4,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,
Microsoft.azure,Microsoft.Azure.Storage.Blob,4,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,
microsoft.azure.storage.blob,Microsoft.Azure.Storage.Blob,4,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,
azure.storage.blob,Azure.Storage.Blobs,4,Azure.Storage,3,Azure.*,2,,,,
microsoft.windowsazure,Microsoft.WindowsAzure.*,4,Azure.*,2,,,,,,
Azure Storage,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,WindowsAzure.Storage,2,,
microsoft azure,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.*,3,Azure.*,2,,,,
windows.azure,WindowsAzure.Storage,4,Azure.*,3,Microsoft.Azure.*,2,,,,
microsoft.windowsazure.storage,Microsoft.Azure.Storage.*,4,Azure.Storage.*,3,Azure.*,2,,,,
Azure.Storage.Blob,Azure.Storage.Blobs,4,Azure.Storage.*,3,Azure.*,2,,,,
windows.azure.storage,WindowsAzure.Storage,4,Azure.Storage.Blobs,3,Azure.Storage.*,2,Microsoft.Azure.Storage.*,2,,
Microsoft.Azure.Storage.,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.Storage.*,3,Azure.Storage.Blobs,3,Azure.Storage.*,2,,
Blob,Azure.Storage.Blobs,4,Microsoft.Azure.Storage.Blob,2,WindowsAzure.Storage,2,,,,
Microsoft.azure.,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.*,3,Azure.Storage.Blobs,3,Azure.*,2,,
Windows.Azure.Storage,WindowsAzure.Storage,4,Azure.Storage.Blobs,3,Azure.Storage.*,2,Microsoft.Azure.Storage.*,2,,
azure sdk,Azure.*,2,Microsoft.Azure.*,1,,,,,,
Azurestorage,Azure.Storage.Blobs,4,Azure.Storage.*,3,Azure.*,2,Microsoft.Azure.Storage.*,2,,
AzureStorage,Azure.Storage.Blobs,4,Azure.Storage.*,3,Azure.*,2,Microsoft.Azure.Storage.*,2,,
windows azure,WindowsAzure.Storage,4,Azure.*,2,Microsoft.Azure.*,2,,,,
Azure storage,Azure.Storage.Blobs,4,Azure.Storage.*,2,Microsoft.Azure.Storage.*,2,,,,
Azure.Storage.,Azure.Storage.Blobs,4,Azure.Storage.*,2,Microsoft.Azure.Storage.*,2,,,,
windowsazure.,WindowsAzure.Storage,4,WindowsAzure.*,3,Microsoft.WindowsAzure.*,3,Azure.*,2,,
azure storage blob,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.Blob,3,Microsoft.Azure.Storage.*,2,,
Microsoft.WindowsAzure.,Microsoft.WindowsAzure.*,4,WindowsAzure.Storage,2,Azure.*,2,,,,
WindowsAzure.,WindowsAzure.Storage,4,WindowsAzure.*,3,Microsoft.WindowsAzure.*,3,Azure.*,2,,
windows azure storage,WindowsAzure.Storage,4,Azure.Storage.Blobs,3,Azure.Storage.*,2,Microsoft.Azure.Storage.*,2,,
windows.storage,WindowsAzure.Storage,4,Azure.Storage.Blobs,3,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,
microsoft.azure.storage.,Microsoft.Azure.Storage.Blob,4,Azure.Storage.Blobs,3,Microsoft.Azure.Storage.*,3,Azure.Storage.*,3,,
azure.storage.,Azure.Storage.Blobs,4,Azure.Storage.*,3,Azure.*,2,,,,
Windows.Storage,WindowsAzure.Storage,3,Azure.Storage.Blobs,3,Azure.Storage.*,2,Microsoft.Azure.Storage,2,,
Windows.Azure,WindowsAzure.Storage,4,Azure.*,2,Microsoft.Azure.*,2,,,,
Microsoft.Azure.storage,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.Storage.*,3,Azure.Storage.*,3,,,,
Microsoft.azure.storage,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.Storage.*,3,Azure.Storage.*,3,,,,
microsoft.Azure,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.Storage.*,3,Azure.Storage.Blobs,3,Azure.*,2,,
microsoft.azure.storage.common,Microsoft.Azure.Storage.Common,4,Microsoft.Azure.Storage.*,3,Azure.Storage.*,3,,,,
windowsAzure,WindowsAzure.Storage,4,Azure.*,2,Microsoft.Azure.*,2,,,,
blobs,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.Blob,2,WindowsAzure.Storage,2,,
Microsoft.Azure.Storage.blob,Microsoft.Azure.Storage.Blob,4,Azure.Storage.Blobs,3,Microsoft.Azure.Storage.*,3,Azure.Storage.*,2,,
microsoft.windowsazure.,WindowsAzure.Storage,4,Azure.*,3,Microsoft.Azure,3,,,,
azure.blob,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.Blob,3,Azure.*,2,Microsoft.Azure.*,2
microsoft.azure.blob,Microsoft.Azure.Storage.Blob,4,Azure.Storage.Blobs,3,Microsoft.Azure.Storage.*,2,Azure.Storage.*,2,,
storage.blob,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
microsoft azure storage,Azure.Storage.Blobs,4,Microsoft.Azure.Storage.Blob,3,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,
Azure.storage,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
Windows Azure Storage,WindowsAzure.Storage,4,Azure.Storage.Blobs,4,Azure.Storage.*,2,Microsoft.Azure.Storage.*,2,,
WindowsAzure.Storage.Blob,WindowsAzure.Storage,4,Azure.Storage.Blobs,4,Azure.Storage.*,2,Microsoft.Azure.Storage.*,2,,
Microsoft.Azure.S,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.Storage.*,3,Azure.Storage.*,2,,,,
azure.s,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
azure.stor,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
azure s,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
microsoft.azure.s,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.Storage.*,3,Azure.Storage.*,2,Azure.*,1,,
azure.sto,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
azure storage blobs,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.Blob,2,Microsoft.Azure.Storage.*,1,,
Azure.Storage.Common,Azure.Storage.Common,4,Azure.Storage.Blobs,3,Azure.Storage.*,2,,,,
azure.st,Azure.Storage.Blobs,4,Azure.Storage.*,3,,,,,,
AZURE,Azure.Storage.Blobs,4,Azure.*,3,Microsoft.Azure.*,2,WindowsAzure.Storage,2,,
Microsoft.Azure.Common,Microsoft.Azure.Common,4,Microsoft.Azure.Storage.Common,2,Azure.Storage.Common,2,,,,
azure sto,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
WindowsAzure.storage,WindowsAzure.Storage,4,Azure.Storage.Blobs,3,Azure.Storage.*,2,Microsoft.Azure.Storage.Blob,2,Microsoft.Azure.Storage.*,1
Azure Blob,Azure.Storage.Blobs,4,Microsoft.Azure.Storage.Blob,3,,,,,,
azure st,Azure.Storage.Blobs,4,Azure.Storage.*,3,Microsoft.Azure.Storage.*,2,,,,
microsoft.azure.st,Microsoft.Azure.Storage.Blob,4,Microsoft.Azure.Storage.*,3,Azure.Storage.Blobs,2,,,,
